Date,Open,High,Low,Close,AdjClose,Volume
2022-08-12,6950.00 ,7000.00 ,6850.00 ,6950.00 ,6282.84 ,58469000.00 
2022-08-11,6975.00 ,7000.00 ,6900.00 ,6950.00 ,6282.84 ,42007400.00 
2022-08-10,6775.00 ,6850.00 ,6600.00 ,6850.00 ,6192.43 ,37086500.00 
2022-08-09,6725.00 ,6825.00 ,6700.00 ,6750.00 ,6102.03 ,61001700.00 
2022-08-08,6625.00 ,6700.00 ,6525.00 ,6700.00 ,6056.83 ,32971000.00 
2022-08-05,6600.00 ,6650.00 ,6475.00 ,6625.00 ,5989.03 ,46702100.00 
2022-08-04,6700.00 ,6700.00 ,6450.00 ,6600.00 ,5966.43 ,66966300.00 
2022-08-03,6450.00 ,6600.00 ,6375.00 ,6600.00 ,5966.43 ,40666300.00 
2022-08-02,6475.00 ,6475.00 ,6275.00 ,6475.00 ,5853.43 ,53235100.00 
2022-08-01,6425.00 ,6550.00 ,6350.00 ,6475.00 ,5853.43 ,55511700.00 
2022-07-29,6150.00 ,6425.00 ,6125.00 ,6325.00 ,5717.83 ,150285200.00 
2022-07-28,6125.00 ,6150.00 ,6025.00 ,6050.00 ,5469.23 ,51909300.00 
2022-07-27,6125.00 ,6125.00 ,6000.00 ,6100.00 ,5514.43 ,35066000.00 
2022-07-26,6100.00 ,6125.00 ,6075.00 ,6100.00 ,5514.43 ,21937400.00 
2022-07-25,6050.00 ,6150.00 ,6050.00 ,6075.00 ,5491.83 ,24674200.00 
2022-07-22,6175.00 ,6175.00 ,6050.00 ,6075.00 ,5491.83 ,37583800.00 
2022-07-21,6200.00 ,6250.00 ,6050.00 ,6175.00 ,5582.23 ,55415500.00 
2022-07-20,6175.00 ,6275.00 ,6100.00 ,6275.00 ,5672.63 ,70493600.00 
2022-07-19,6025.00 ,6150.00 ,6025.00 ,6075.00 ,5491.83 ,50725600.00 
2022-07-18,5975.00 ,6025.00 ,5950.00 ,6025.00 ,5446.63 ,27618400.00 
2022-07-15,6000.00 ,6075.00 ,5925.00 ,5950.00 ,5378.83 ,32403800.00 
2022-07-14,5825.00 ,6100.00 ,5825.00 ,6100.00 ,5514.43 ,59847700.00 
2022-07-13,6100.00 ,6100.00 ,5825.00 ,5825.00 ,5265.83 ,56747900.00 
2022-07-12,6050.00 ,6150.00 ,6050.00 ,6100.00 ,5514.43 ,22900800.00 
2022-07-11,5975.00 ,6075.00 ,5925.00 ,6050.00 ,5469.23 ,49946600.00 
2022-07-08,6025.00 ,6075.00 ,5950.00 ,5975.00 ,5401.43 ,78131700.00 
2022-07-07,6025.00 ,6125.00 ,5900.00 ,5950.00 ,5378.83 ,62871600.00 
2022-07-06,6300.00 ,6400.00 ,6050.00 ,6075.00 ,5491.83 ,67773900.00 
2022-07-05,6500.00 ,6525.00 ,6325.00 ,6325.00 ,5717.83 ,39700000.00 
2022-07-04,6500.00 ,6575.00 ,6300.00 ,6500.00 ,5876.03 ,43087400.00 
2022-07-01,6675.00 ,6675.00 ,6500.00 ,6525.00 ,5898.63 ,52387100.00 
2022-06-30,6525.00 ,6650.00 ,6500.00 ,6625.00 ,5989.03 ,52839200.00 
2022-06-29,6625.00 ,6700.00 ,6500.00 ,6500.00 ,5876.03 ,46682700.00 
2022-06-28,6650.00 ,6700.00 ,6600.00 ,6700.00 ,6056.83 ,36838200.00 
2022-06-27,6700.00 ,6750.00 ,6550.00 ,6650.00 ,6011.63 ,48277300.00 
2022-06-24,6900.00 ,6900.00 ,6650.00 ,6675.00 ,6034.23 ,42386000.00 
2022-06-23,6850.00 ,6875.00 ,6750.00 ,6875.00 ,6215.03 ,30137200.00 
2022-06-22,6850.00 ,6925.00 ,6775.00 ,6800.00 ,6147.23 ,35536800.00 
2022-06-21,6900.00 ,6975.00 ,6850.00 ,6850.00 ,6192.43 ,31247000.00 
2022-06-20,6950.00 ,6975.00 ,6750.00 ,6925.00 ,6260.23 ,44263700.00 
2022-06-17,6675.00 ,6950.00 ,6675.00 ,6950.00 ,6282.84 ,63931400.00 
2022-06-16,6850.00 ,6950.00 ,6750.00 ,6850.00 ,6192.43 ,74982600.00 
2022-06-15,6975.00 ,6975.00 ,6700.00 ,6700.00 ,6056.83 ,50804600.00 
2022-06-14,6875.00 ,7000.00 ,6875.00 ,6975.00 ,6305.44 ,38001800.00 
2022-06-13,6900.00 ,7100.00 ,6725.00 ,7025.00 ,6350.64 ,59781700.00 
2022-06-10,7100.00 ,7175.00 ,6925.00 ,6925.00 ,6260.23 ,57621000.00 
